vm,commit,suite,benchmark,ms,warm
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide,452.445000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide,531.878000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide,543.248000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide,574.111000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide,592.185000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide,607.020000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide,571.137000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide,500.231000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide,536.453000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide,565.053000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide,586.885000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide,606.646000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide,574.783000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide,505.476000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide,544.000000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,fannkuchredux_naive,2521.683000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,fannkuchredux_naive,2502.858000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,fannkuchredux_naive,2504.504000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,fannkuchredux_naive,2502.515000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,fannkuchredux_naive,2507.897000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,fannkuchredux_naive,2502.786000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,fannkuchredux_naive,2515.814000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,fannkuchredux_naive,2503.090000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,fannkuchredux_naive,2504.557000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,fannkuchredux_naive,2503.669000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,fannkuchredux_naive,2496.729000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,fannkuchredux_naive,2497.836000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,fannkuchredux_naive,2502.086000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,fannkuchredux_naive,2501.510000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,fannkuchredux_naive,2513.763000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout,91.392000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout,72.802000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout,72.619000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout,72.635000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout,73.911000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout,72.566000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout,72.509000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout,72.553000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout,73.853000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout,81.061000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout,72.658000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout,72.572000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout,72.538000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout,73.607000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout,72.522000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody,983.877000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody,966.015000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody,970.231000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody,981.725000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody,950.294000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody,953.323000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody,956.148000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody,961.241000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody,951.805000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody,952.011000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody,952.164000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody,964.407000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody,951.126000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody,954.753000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody,953.184000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,regexdna,1511.864000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,regexdna,1487.217000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,regexdna,1513.640000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,regexdna,1473.185000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,regexdna,1505.533000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,regexdna,1477.230000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,regexdna,1485.835000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,regexdna,1509.020000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,regexdna,1475.154000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,regexdna,1491.284000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,regexdna,1477.662000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,regexdna,1502.680000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,regexdna,1476.930000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,regexdna,1489.875000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,regexdna,1509.778000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_3,1385.035000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_3,1391.082000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_3,1371.303000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_3,1384.487000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_3,1359.601000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_3,1353.458000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_3,1395.966000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_3,1385.045000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_3,1354.922000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_3,1359.272000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_3,1351.421000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_3,1359.718000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_3,1382.810000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_3,1403.610000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_3,1351.641000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide_brute_2,2130.193000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide_brute_2,2300.698000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide_brute_2,2898.920000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide_brute_2,2825.948000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide_brute_2,3303.184000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide_brute_2,3438.709000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide_brute_2,3596.725000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide_brute_2,3718.601000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide_brute_2,3766.706000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide_brute_2,3840.502000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide_brute_2,4402.626000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide_brute_2,4373.219000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide_brute_2,2206.966000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide_brute_2,2234.833000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,knucleotide_brute_2,2754.553000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,binarytrees_naive,94.766000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,binarytrees_naive,88.898000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,binarytrees_naive,88.923000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,binarytrees_naive,88.016000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,binarytrees_naive,88.802000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,binarytrees_naive,88.106000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,binarytrees_naive,88.773000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,binarytrees_naive,97.294000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,binarytrees_naive,88.171000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,binarytrees_naive,88.833000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,binarytrees_naive,88.086000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,binarytrees_naive,88.779000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,binarytrees_naive,88.130000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,binarytrees_naive,89.885000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,binarytrees_naive,88.933000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,reversecomplement,526.220000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,reversecomplement,526.312000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,reversecomplement,543.110000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,reversecomplement,582.498000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,reversecomplement,623.743000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,reversecomplement,606.528000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,reversecomplement,524.955000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,reversecomplement,521.007000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,reversecomplement,540.166000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,reversecomplement,523.267000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,reversecomplement,531.486000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,reversecomplement,532.982000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,reversecomplement,521.763000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,reversecomplement,523.457000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,reversecomplement,519.922000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout_naive,219.407000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout_naive,196.507000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout_naive,197.976000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout_naive,191.557000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout_naive,186.462000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout_naive,187.535000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout_naive,185.912000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout_naive,197.109000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout_naive,197.340000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout_naive,197.092000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout_naive,194.675000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout_naive,195.235000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout_naive,189.764000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout_naive,190.592000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,mandelbrot_noout_naive,187.698000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_naive,1457.544000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_naive,1438.659000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_naive,1443.101000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_naive,1431.712000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_naive,1430.187000,0
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_naive,1439.678000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_naive,1431.764000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_naive,1443.245000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_naive,1430.772000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_naive,1430.502000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_naive,1439.057000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_naive,1430.429000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_naive,1431.211000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_naive,1439.074000,1
Ř,9c038edb3727233d45b5c6b8b94186451a0c9b6d,shootout,nbody_naive,1430.591000,1
