type,package,filename,lazy-1,lazy-2,strict
test,Amelia,bounds,0,0,0
test,Amelia,moPrep-test,0,0,0
test,Amelia,overimp,0,0,0
test,BVAR,tinytest,0,0,0
test,BayesFactor,run-all,0,0,0
test,BayesFactor,test-anovaBF,1,1,1
test,BayesFactor,test-contingencyBF,1,1,1
test,BayesFactor,test-correlationBF,1,1,1
test,BayesFactor,test-generalTestBF,1,1,1
test,BayesFactor,test-proportionBF,1,1,1
test,BayesFactor,test-regressionBF,1,1,1
test,BayesFactor,test-specialchars,1,1,1
test,BayesFactor,test-ttest,1,1,1
test,Bessel,Airy-tsts,0,0,0
test,Bessel,Bessel_asymp,0,0,0
test,Bessel,Hankel-tsts,0,0,0
test,Bessel,IJKY,0,0,0
test,BimodalIndex,test09-bimodal,0,0,0
test,CRF,ExampleChain,0,0,0
test,CRF,ExampleClique,0,0,0
test,CRF,ExampleLoop,0,0,0
test,CRF,ExampleRain,1,1,1
test,CRF,ExampleSmall,0,0,0
test,CRF,ExampleTree,0,0,0
test,CRF,test.crf,0,0,0
test,CRF,test.decode,0,0,0
test,CRF,test.infer,0,0,0
test,CRF,test.mrf,0,0,0
test,CRF,test.sample,0,0,0
test,ChemoSpecUtils,tinytest,0,0,0
test,DPQ,chisq-nonc-ex,0,0,0
test,DPQ,dnbinom-tst,0,0,0
test,DPQ,dnchisq-tst,0,0,0
test,DPQ,hyper-dist-ex,0,0,0
test,DPQ,pnbeta-tst,0,0,0
test,DPQ,pnt-prec,0,0,0
test,DPQ,ppois-ex,0,0,0
test,DPQ,qPoisBinom-ex,0,0,0
test,DPQ,qbeta-dist,0,0,0
test,DPQ,qbeta-tst,0,0,0
test,DPQ,qgamma-ex,0,0,0
test,DPQ,stirlerr-tst,0,0,0
test,DPQ,t-nonc-tst,0,0,0
test,DPQ,wienergerm-pchisq-tst,0,0,0
test,DPQ,wienergerm_nchisq,0,0,0
test,DoE.base,test_aggregate,0,0,0
test,DoE.base,test_colorder,0,0,0
test,DoE.base,test_cross,0,0,0
test,DoE.base,test_qua.design,0,0,0
test,DoE.base,test_reshape,0,0,0
test,DoE.wrapper,Dopt.test,0,0,0
