lazy-1,lazy-2,signature+force+effect+reflection,signature+force+effect-reflection,signature+force-effect+reflection,signature+force-effect-reflection,signature-force+effect+reflection,signature-force+effect-reflection,signature-force-effect+reflection,signature-force-effect-reflection,count
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-1,-1,0,0,0,1,1
-1,-1,-1,-1,-1,0,-1,-1,-1,0,1
-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1
0,-1,-1,-1,-1,-1,0,0,0,1,2
0,0,-1,-1,-1,-1,0,0,-1,-1,1
0,0,-1,-1,-1,0,0,0,0,1,1
0,0,-1,-1,0,0,0,-1,0,0,1
0,0,0,-1,-1,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,42855
0,0,0,0,0,0,0,0,0,1,243
0,0,0,0,0,0,0,0,0,139,1
0,0,0,0,0,0,0,0,1,1,44
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,1,1,1,388
0,0,0,0,0,1,0,0,0,1,5098
0,0,0,0,0,1,0,0,1,1,16
0,0,0,0,1,1,0,0,1,1,16
0,0,1,0,0,0,0,0,0,0,2
0,0,1,0,0,1,0,1,0,0,1
0,0,1,1,1,1,1,1,1,1,22
0,1,0,0,0,0,0,0,0,0,1
0,1,0,1,1,1,0,1,1,0,1
0,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,1,0,0,1,1
1,1,0,0,0,0,0,0,0,1,1
1,1,0,1,1,1,1,1,1,0,1
1,1,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,713
134,134,134,139,134,134,134,134,134,134,1
134,134,134,139,139,134,134,139,134,139,1
134,134,139,139,1,134,139,139,139,139,1
134,134,139,139,134,139,134,139,134,139,1
134,134,139,139,134,139,139,134,139,134,1
134,139,134,134,139,134,134,139,134,134,1
139,139,139,139,139,1,139,139,139,1,58
139,139,139,139,139,134,134,134,134,134,1
139,139,139,139,139,134,139,139,139,139,1
139,139,139,139,139,139,139,134,139,139,1
