type,package,filename,lazy-1,lazy-2,strict
test,Amelia,bounds,TRUE,TRUE,TRUE
test,Amelia,moPrep-test,TRUE,FALSE,FALSE
test,Amelia,overimp,TRUE,FALSE,FALSE
test,BVAR,tinytest,TRUE,TRUE,TRUE
test,BayesFactor,run-all,TRUE,TRUE,TRUE
test,BayesFactor,test-anovaBF,TRUE,TRUE,TRUE
test,BayesFactor,test-contingencyBF,TRUE,TRUE,TRUE
test,BayesFactor,test-correlationBF,TRUE,TRUE,TRUE
test,BayesFactor,test-generalTestBF,TRUE,TRUE,TRUE
test,BayesFactor,test-proportionBF,TRUE,TRUE,TRUE
test,BayesFactor,test-regressionBF,TRUE,TRUE,TRUE
test,BayesFactor,test-specialchars,TRUE,TRUE,TRUE
test,BayesFactor,test-ttest,TRUE,TRUE,TRUE
test,Bessel,Airy-tsts,TRUE,TRUE,TRUE
test,Bessel,Bessel_asymp,TRUE,FALSE,FALSE
test,Bessel,Hankel-tsts,TRUE,FALSE,FALSE
test,Bessel,IJKY,TRUE,FALSE,FALSE
test,BimodalIndex,test09-bimodal,TRUE,TRUE,TRUE
test,CRF,ExampleChain,TRUE,TRUE,TRUE
test,CRF,ExampleClique,TRUE,TRUE,TRUE
test,CRF,ExampleLoop,TRUE,TRUE,TRUE
test,CRF,ExampleRain,TRUE,TRUE,TRUE
test,CRF,ExampleSmall,TRUE,TRUE,TRUE
test,CRF,ExampleTree,TRUE,TRUE,TRUE
test,CRF,test.crf,TRUE,TRUE,TRUE
test,CRF,test.decode,TRUE,FALSE,FALSE
test,CRF,test.infer,TRUE,FALSE,FALSE
test,CRF,test.mrf,TRUE,TRUE,TRUE
test,CRF,test.sample,TRUE,TRUE,TRUE
test,ChemoSpecUtils,tinytest,TRUE,FALSE,FALSE
test,DPQ,chisq-nonc-ex,TRUE,FALSE,FALSE
test,DPQ,dnbinom-tst,TRUE,TRUE,TRUE
test,DPQ,dnchisq-tst,TRUE,TRUE,TRUE
test,DPQ,hyper-dist-ex,TRUE,FALSE,FALSE
test,DPQ,pnbeta-tst,TRUE,TRUE,TRUE
test,DPQ,pnt-prec,TRUE,FALSE,FALSE
test,DPQ,ppois-ex,TRUE,TRUE,TRUE
test,DPQ,qPoisBinom-ex,TRUE,TRUE,TRUE
test,DPQ,qbeta-dist,TRUE,FALSE,FALSE
test,DPQ,qbeta-tst,TRUE,TRUE,TRUE
test,DPQ,qgamma-ex,TRUE,FALSE,FALSE
test,DPQ,stirlerr-tst,TRUE,FALSE,FALSE
test,DPQ,t-nonc-tst,TRUE,TRUE,TRUE
test,DPQ,wienergerm-pchisq-tst,TRUE,TRUE,TRUE
test,DPQ,wienergerm_nchisq,TRUE,TRUE,TRUE
test,DoE.base,test_aggregate,TRUE,TRUE,TRUE
test,DoE.base,test_colorder,TRUE,TRUE,TRUE
test,DoE.base,test_cross,TRUE,TRUE,TRUE
test,DoE.base,test_qua.design,TRUE,TRUE,TRUE
test,DoE.base,test_reshape,TRUE,TRUE,TRUE
test,DoE.wrapper,Dopt.test,TRUE,TRUE,TRUE
test,DoE.wrapper,bbd.test,TRUE,FALSE,FALSE
test,DoE.wrapper,ccd.augment.test,TRUE,TRUE,TRUE
test,DoE.wrapper,qua.design.test,TRUE,TRUE,TRUE
test,FrF2,FrF2test,TRUE,FALSE,FALSE
test,FrF2,addcentertest,TRUE,TRUE,TRUE
test,FrF2,foldtest,TRUE,TRUE,TRUE
test,FrF2,generators.from.designtest,TRUE,FALSE,FALSE
test,FrF2,generators.summary.test,TRUE,TRUE,TRUE
test,FrF2,godolphintest,TRUE,TRUE,TRUE
test,FrF2,pbtest,TRUE,TRUE,TRUE
test,GGMselect,bsch,TRUE,TRUE,TRUE
test,GGMselect,penInf,TRUE,TRUE,TRUE
test,GGMselect,sh9.2012,TRUE,TRUE,TRUE
test,GGMselect,shPUR,TRUE,TRUE,TRUE
test,GGMselect,test1Fast,TRUE,TRUE,TRUE
test,GGMselect,test1QE,TRUE,TRUE,TRUE
test,GGMselect,test2Fast,TRUE,TRUE,TRUE
test,GGMselect,test2QE,TRUE,TRUE,TRUE
test,GGMselect,test3Fast,TRUE,TRUE,TRUE
test,GGMselect,test3QE,TRUE,TRUE,TRUE
test,GGMselect,test5Fast,TRUE,TRUE,TRUE
test,GGMselect,test7Fast,TRUE,TRUE,TRUE
test,GGMselect,testMyFam,TRUE,TRUE,TRUE
test,GeneralizedHyperbolic,doRUnit,TRUE,TRUE,TRUE
test,GeneralizedHyperbolic,ghypInversionTests,TRUE,TRUE,TRUE
test,GeneralizedHyperbolic,problemData,TRUE,TRUE,TRUE
test,GeneralizedHyperbolic,runghypMoments,TRUE,FALSE,FALSE
test,GeneralizedHyperbolic,test.qgig,TRUE,TRUE,TRUE
test,ISOweek,run-all,TRUE,TRUE,TRUE
test,ISOweek,test-ISOweek,TRUE,TRUE,TRUE
test,ISOweek,test-ISOweek-internal,TRUE,TRUE,TRUE
test,ISOweek,test-ISOweek2date,TRUE,TRUE,TRUE
test,ISOweek,test-ISOweekday,TRUE,TRUE,TRUE
test,ISOweek,test-date2ISOweek,TRUE,TRUE,TRUE
test,LatticeKrig,LKrig.FindNorm.test,TRUE,TRUE,TRUE
test,LatticeKrig,LKrig.LKCylinder.test,TRUE,TRUE,TRUE
test,LatticeKrig,LKrig.LKSphere.test,TRUE,TRUE,TRUE
test,LatticeKrig,LKrig.basis.test,TRUE,TRUE,TRUE
test,LatticeKrig,LKrig.lnPLike.test,TRUE,TRUE,TRUE
test,LatticeKrig,LKrig.nullspace.test,TRUE,TRUE,TRUE
test,LatticeKrig,LKrig.precision.test,TRUE,TRUE,TRUE
test,LatticeKrig,LKrig.se.test,TRUE,TRUE,TRUE
test,LatticeKrig,LKrig.test,TRUE,TRUE,TRUE
test,LatticeKrig,LKrig.test.3D,TRUE,TRUE,TRUE
test,LatticeKrig,LKrig.test.Nonstationary,TRUE,TRUE,TRUE
test,LatticeKrig,LKrig.test.inverse,TRUE,TRUE,TRUE
test,LatticeKrig,LKrig.testFindAwght,TRUE,TRUE,TRUE
test,LatticeKrig,LKrigMarginalVariance.test,TRUE,TRUE,TRUE
test,Matching,AbadieImbens,TRUE,TRUE,TRUE
test,Matching,DehejiaWahba,TRUE,TRUE,TRUE
test,Matching,GenMatch,TRUE,TRUE,TRUE
test,Matching,Matchby,TRUE,TRUE,TRUE
test,MatrixModels,MModels,TRUE,TRUE,TRUE
test,MuMIn,gam,TRUE,TRUE,TRUE
test,MuMIn,gam-smooth-match,TRUE,TRUE,TRUE
test,MuMIn,glm,TRUE,TRUE,TRUE
test,MuMIn,glm.nb,TRUE,TRUE,TRUE
test,MuMIn,misc-tests,TRUE,TRUE,TRUE
test,MuMIn,multinom,TRUE,TRUE,TRUE
test,MuMIn,nlme,TRUE,TRUE,TRUE
test,MuMIn,parallel,TRUE,FALSE,FALSE
test,MuMIn,quasibinomial,TRUE,FALSE,FALSE
test,MuMIn,rlm,TRUE,TRUE,TRUE
test,MuMIn,singularities,TRUE,TRUE,TRUE
test,MuMIn,survival,TRUE,TRUE,TRUE
test,PerformanceAnalytics,tinytest,TRUE,FALSE,FALSE
test,Polychrome,test-07-member,TRUE,TRUE,TRUE
test,Polychrome,testDeficit,TRUE,TRUE,TRUE
test,Polychrome,testXform,TRUE,TRUE,TRUE
test,PowerTOST,test_2x2,TRUE,TRUE,TRUE
test,PowerTOST,test_2x2x3,TRUE,TRUE,TRUE
test,PowerTOST,test_2x4x2,TRUE,TRUE,TRUE
test,PowerTOST,test_2x4x4,TRUE,TRUE,TRUE
test,PowerTOST,test_ABEL,TRUE,TRUE,TRUE
test,PowerTOST,test_RSABE,TRUE,TRUE,TRUE
test,PowerTOST,test_RatioF,TRUE,TRUE,TRUE
test,PowerTOST,test_parallel,TRUE,TRUE,TRUE
test,R.cache,DEPRECATED,TRUE,TRUE,TRUE
